Animal1,Animal2,weights
ant,mouse,0.315010352
ant,mule,0.194811671
ant,nightingale,0.097845104
ant,nymph,0.195108282
ant,octopus,0.363183424
ant,okapi,0.143904965
ant,ostrich,0.312854918
ant,otter,0.13076501
ant,owl,0.280142565
ant,oyster,0.136692133
ant,panda,0.302857934
ant,panther,0.239617408
ant,parakeet,0.152791199
ant,parrot,0.284794063
ant,peacock,0.196353784
ant,pelican,0.139388555
ant,penguin,0.181829035
ant,pig,0.309574785
ant,pigeon,0.227767268
ant,piranha,0.292186033
ant,platypus,0.301119219
ant,pony,0.151501335
ant,poodle,0.18085974
ant,prawn,0.247318726
ant,puma,0.188014622
ant,python,0.293149482
ant,rabbit,0.352466763
ant,racoon,0.23357857
ant,rat,0.32427005
ant,rattlesnake,0.246688525
ant,raven,0.275520943
ant,reindeer,0.231451556
ant,rhinoceros,0.215168901
ant,robin,0.099160234
ant,rooster,0.239221021
ant,salamander,0.204973294
ant,salmon,0.12024328
ant,scallop,0.105697731
ant,scorpion,0.451829223
ant,seal,0.070745044
ant,shark,0.300047208
ant,sheep,0.256371337
ant,shrimp,0.280943392
ant,skunk,0.289100788
ant,snail,0.305502658
ant,snake,0.388723723
ant,sparrow,0.284553327
ant,spider,0.505581202
ant,squid,0.249818973
ant,squirrel,0.327650222
ant,starfish,0.347983023
ant,stingray,0.262221636
ant,stork,0.187971515
ant,swallow,0.260858687
ant,swan,0.179428036
ant,tapir,0.25153838
ant,termite,0.437428392
ant,tarantula,0.450327074
ant,tiger,0.275951685
ant,toad,0.271497463
ant,tortoise,0.302104507
ant,toucan,0.227579813
ant,trout,0.077119381
ant,turkey,0.048678433
ant,turtle,0.290061999
ant,walrus,0.265753709
ant,wasp,0.480213397
ant,weasel,0.316991479
ant,whale,0.173928526
ant,wolf,0.225019723
ant,wombat,0.267056637
ant,woodpecker,0.177708168
ant,yak,0.168266928
ant,zebra,0.320187894
antelope,albatross,0.247794276
antelope,alligator,0.323077478
antelope,ant,0.156941413
antelope,antelope,1
antelope,baboon,0.358829114
antelope,badger,0.35663881
antelope,barracuda,0.127982196
antelope,bat,0.195569903
antelope,bear,0.301264822
antelope,beaver,0.429132842
antelope,bee,0.186897924
antelope,beetle,0.233141335
antelope,bison,0.508059528
antelope,blackbird,0.146585324
antelope,boa,0.208624565
antelope,bonobo,0.163466373
antelope,buffalo,0.333410261
antelope,bumblebee,0.12927931
antelope,butterfly,0.111540399
antelope,caiman,0.348979426
antelope,camel,0.367000908
antelope,canary,0.127881077
antelope,carp,0.167041192
antelope,cat,0.152210443
antelope,caterpillar,0.171009832
antelope,catfish,0.214715516
antelope,centipede,0.222136264
antelope,chameleon,0.222434233
antelope,chicken,0.167650048
antelope,chimpanzee,0.270291273
antelope,chipmunk,0.158053287
antelope,cockroach,0.199692516
antelope,cod,0.112322731
antelope,cow,0.301160759
antelope,coyote,0.375297498
antelope,crab,0.244275732
antelope,crocodile,0.299474548
antelope,crow,0.201493705
antelope,cuttlefish,0.127174038
antelope,deer,0.50297425
antelope,dingo,0.249866262
antelope,dog,0.244746635
antelope,dolphin,0.264540567
antelope,donkey,0.199223292
antelope,dove,0.20350239
antelope,dragonfly,0.157413506
antelope,duck,0.243146477
antelope,eagle,0.376502765
antelope,eel,0.284808818
antelope,elephant,0.433537515
antelope,elk,0.594954795
antelope,emu,0.297930145
antelope,falcon,0.182146911
antelope,finch,0.194855483
antelope,flamingo,0.199752258
antelope,flea,0.185220275
antelope,fly,0.059049545
antelope,fox,0.157206025
antelope,frog,0.228062662
antelope,gazelle,0.419122744
antelope,gecko,0.205046567
antelope,gibbon,0.150155075
antelope,giraffe,0.417986557
antelope,goat,0.397204901
antelope,goldfish,0.143054432
antelope,goose,0.265620518
antelope,gorilla,0.216022976
antelope,grasshopper,0.25469657
antelope,hamster,0.254970547
antelope,hare,0.232536223
antelope,hawk,0.21119691
antelope,hedgehog,0.181146249
antelope,horse,0.275957078
antelope,hyena,0.351979718
antelope,jaguar,0.150374164
antelope,jellyfish,0.122480173
antelope,kangaroo,0.330109394
antelope,kiwi,0.143695417
antelope,koala,0.210133082
antelope,ladybug,0.077174163
antelope,lemur,0.264521753
antelope,lemming,0.196300289
antelope,leopard,0.411895361
antelope,lion,0.297062604
antelope,lizard,0.297265671
antelope,lobster,0.143808546
antelope,mammoth,0.296803126
antelope,mink,0.254001148
antelope,mole,0.273185342
antelope,mongoose,0.378661743
antelope,monkey,0.18404096
antelope,moose,0.316737161
antelope,moth,0.115664365
antelope,mouse,0.170593745
antelope,mule,0.330801164
antelope,nightingale,0.029620988
antelope,nymph,0.162189787
antelope,octopus,0.132739457
antelope,okapi,0.313034532
antelope,ostrich,0.42399922
antelope,otter,0.433518201
antelope,owl,0.337134986
antelope,oyster,0.212483418
antelope,panda,0.184223135
antelope,panther,0.167212764
antelope,parakeet,0.274674236
antelope,parrot,0.256467391
antelope,peacock,0.193641542
antelope,pelican,0.304263852
antelope,penguin,0.036444952
antelope,pig,0.233729605
antelope,pigeon,0.293313162
antelope,piranha,0.108023297
antelope,platypus,0.253003142
antelope,pony,0.285974619
antelope,poodle,0.22718899
antelope,prawn,0.112857449
antelope,puma,0.16241486
antelope,python,0.133790181
antelope,rabbit,0.272507668
antelope,racoon,0.303691615
antelope,rat,0.234162236
antelope,rattlesnake,0.399971232
antelope,raven,0.140548551
antelope,reindeer,0.346361771
antelope,rhinoceros,0.44422244
antelope,robin,0
antelope,rooster,0.156011896
antelope,salamander,0.289108643
antelope,salmon,0.2227504
antelope,scallop,0.163664309
antelope,scorpion,0.227864005
antelope,seal,0.206273381
antelope,shark,0.202812397
antelope,sheep,0.408474309
antelope,shrimp,0.173206191
antelope,skunk,0.261810535
antelope,snail,0.216198336
antelope,snake,0.327515201
antelope,sparrow,0.236194832
antelope,spider,0.089090297
antelope,squid,0.143719056
antelope,squirrel,0.39413117
antelope,starfish,0.208784735
antelope,stingray,0.121482762
antelope,stork,0.231112192
antelope,swallow,0.170444025
antelope,swan,0.1993515
antelope,tapir,0.450413682
antelope,termite,0.199036474
antelope,tarantula,0.195396902
antelope,tiger,0.234427528
antelope,toad,0.265440735
antelope,tortoise,0.33376381
antelope,toucan,0.241205092
antelope,trout,0.233418888
antelope,turkey,0.173081016
