Animal1,Animal2,weights
ant,dingo,0.331934725
ant,dog,0.73755321
ant,dolphin,0.486696706
ant,donkey,0.694909601
ant,dove,0.218861083
ant,dragonfly,0.278279605
ant,duck,0.680822968
ant,eagle,0.617066758
ant,eel,0.473433498
ant,elephant,0.568716369
ant,elk,0.439430426
ant,emu,0.252406876
ant,falcon,0.613725687
ant,finch,0.499583609
ant,flamingo,0.546355707
ant,flea,0.529383061
ant,fly,0.745719571
ant,fox,0.58043067
ant,frog,0.645896364
ant,gazelle,0.299550981
ant,gecko,0.418673126
ant,gibbon,0.051943007
ant,giraffe,0.487340442
ant,goat,0.661563961
ant,goldfish,0.56341712
ant,goose,0.630572332
ant,gorilla,0.623183064
ant,grasshopper,0.533394561
ant,hamster,0.540814424
ant,hare,0.243918829
ant,hawk,0.657382516
ant,hedgehog,0.407245904
ant,horse,0.658045687
ant,hyena,0.358785257
ant,jaguar,0.437431138
ant,jellyfish,0.436090728
ant,kangaroo,0.469065235
ant,kiwi,0.43403949
ant,koala,0.394146409
ant,ladybug,0.406201447
ant,lemur,0.32980317
ant,lemming,0.156896152
ant,leopard,0.355139694
ant,lion,0.563096418
ant,lizard,0.59439583
ant,lobster,0.500939
ant,mammoth,0.265422534
ant,mink,0.464418117
ant,mole,0.465186328
ant,mongoose,0.391570623
ant,monkey,0.687690041
ant,moose,0.610880623
ant,moth,0.565415489
ant,mouse,0.548506023
ant,mule,0.548185347
ant,nightingale,0.359067688
ant,nymph,0.219968851
ant,octopus,0.478194633
ant,okapi,0.06947816
ant,ostrich,0.426969222
ant,otter,0.490586704
ant,owl,0.509518403
ant,oyster,0.492867575
ant,panda,0.449183102
ant,panther,0.477546723
ant,parakeet,0.297465037
ant,parrot,0.586637275
ant,peacock,0.440186999
ant,pelican,0.49426396
ant,penguin,0.486328019
ant,pig,0.612282594
ant,pigeon,0.458892366
ant,piranha,0.286995302
ant,platypus,0.392181735
ant,pony,0.601989621
ant,poodle,0.414845555
ant,prawn,0.321376074
ant,puma,0.349978529
ant,python,0.468649447
ant,rabbit,0.57994292
ant,racoon,0.51670057
ant,rat,0.772902474
ant,rattlesnake,0.301439751
ant,raven,0.691284352
ant,reindeer,0.305545055
ant,rhinoceros,0.357565821
ant,robin,0.549871422
ant,rooster,0.458034293
ant,salamander,0.296638425
ant,salmon,0.390996488
ant,scallop,0.23051119
