[run number],threshold,person1,person2,[step],words-said
54,0.3,animals_google.csv,animals_gigaword.csv,23,[donkey goat weasel hyena cockroach giraffe caiman gecko leopard parrot badger elk lizard lemur emu ostrich puma panther woodpecker pelican beaver eagle owl pelican]
55,0.1,animals_twitter.csv,animals_gigaword.csv,31,[monkey pig shark python otter cockroach hawk flea robin raven beetle panda lizard prawn pelican cod butterfly shrimp oyster octopus crocodile cat swallow peacock tortoise bee hamster gecko weasel wombat nightingale gecko]
56,0.2,animals_twitter.csv,animals_gigaword.csv,7,[jaguar cat goose reindeer wolf zebra emu goose]
57,0.3,animals_twitter.csv,animals_gigaword.csv,18,[goldfish poodle peacock parrot pig mouse frog mole rabbit dog grasshopper owl cat pigeon lobster crab chimpanzee baboon goldfish]
58,0.1,animals_wikipedia.csv,animals_gigaword.csv,27,[albatross squirrel peacock python octopus shark flamingo lemur prawn wombat snake hamster yak goat beaver bat raven starfish nymph rooster crow pigeon oyster carp pelican nightingale whale shark]
59,0.2,animals_wikipedia.csv,animals_gigaword.csv,32,[cow bison hawk sparrow toad crocodile bee eel antelope goose flamingo penguin squirrel bumblebee wasp cockroach pigeon coyote tarantula spider octopus crab hyena pony chameleon kiwi eagle elk rat frog koala caiman rat]
60,0.3,animals_wikipedia.csv,animals_gigaword.csv,19,[rabbit pigeon goose ostrich eagle dove butterfly dragonfly bumblebee barracuda starfish gecko monkey baboon wombat tortoise dog gorilla bear monkey]
63,0.3,animals_gigaword.csv,animals_google.csv,6,[otter lizard rhinoceros peacock parrot toucan]
62,0.2,animals_gigaword.csv,animals_google.csv,21,[horse elephant python rooster nymph badger wombat panda butterfly caterpillar ant tapir koala dog rat piranha hedgehog wasp jellyfish swan peacock caterpillar]
61,0.1,animals_gigaword.csv,animals_google.csv,41,[turkey bumblebee turtle bison walrus stingray gazelle tapir blackbird dolphin stork alligator snake bat lizard cockroach spider goldfish nightingale ladybug nymph dragonfly hedgehog penguin chicken lion tortoise ant jellyfish elephant crocodile shark trout reindeer hamster mouse horse cow moose scallop tarantula gazelle]
