Animal1,Animal2,weights
alligator,shrimp,0.433434651
alligator,skunk,0.426266571
alligator,snail,0.335796659
alligator,snake,0.634928448
alligator,sparrow,0.304485354
alligator,spider,0.434118158
alligator,squid,0.403223761
alligator,squirrel,0.511402334
alligator,starfish,0.313608273
alligator,stingray,0.564247681
alligator,stork,0.309018141
alligator,swallow,0.124158047
alligator,swan,0.403328421
alligator,tapir,0.440675846
alligator,termite,0.365734853
alligator,tarantula,0.479215678
alligator,tiger,0.557958997
alligator,toad,0.500995696
alligator,tortoise,0.441282923
alligator,toucan,0.368849261
alligator,trout,0.417856285
alligator,turkey,0.343518812
alligator,turtle,0.570501658
alligator,walrus,0.308491156
alligator,wasp,0.40330331
alligator,weasel,0.289704852
alligator,whale,0.457749745
alligator,wolf,0.435626261
alligator,wombat,0.330438044
alligator,woodpecker,0.416404369
alligator,yak,0.195665494
alligator,zebra,0.471613883
ant,albatross,0.202203923
ant,alligator,0.386028971
ant,ant,1
ant,antelope,0.326489242
ant,baboon,0.336773664
ant,badger,0.335776613
ant,barracuda,0.225411978
ant,bat,0.155198358
ant,bear,0.211894324
ant,beaver,0.376439373
ant,bee,0.490151494
ant,beetle,0.546891681
ant,bison,0.185228201
ant,blackbird,0.359545809
ant,boa,0.271214179
ant,bonobo,0.256805553
ant,buffalo,0.283680905
ant,bumblebee,0.436181815
ant,butterfly,0.314240328
ant,caiman,0.303928468
ant,camel,0.24457555
ant,canary,0.217741726
ant,carp,0.277499979
ant,cat,0.283282482
ant,caterpillar,0.528112491
ant,catfish,0.350732985
ant,centipede,0.40709333
ant,chameleon,0.195467977
ant,chicken,0.299576056
ant,chimpanzee,0.295185609
ant,chipmunk,0.370620091
ant,cockroach,0.555118657
ant,cod,0.117437354
ant,cow,0.255696378
ant,coyote,0.312810726
ant,crab,0.296485795
ant,crocodile,0.373837802
ant,crow,0.333680814
ant,cuttlefish,0.370645639
ant,deer,0.310946458
ant,dingo,0.250797393
ant,dog,0.23810595
ant,dolphin,0.214087702
ant,donkey,0.270644726
ant,dove,0.187362466
ant,dragonfly,0.426745657
ant,duck,0.28892152
ant,eagle,0.207369437
ant,eel,0.357152277
ant,elephant,0.377819329
ant,elk,0.259351526
ant,emu,0.330567751
ant,falcon,0.312532744
ant,finch,0.412200942
ant,flamingo,0.326462563
ant,flea,0.268025714
ant,fly,0.075462117
ant,fox,0.367418384
ant,frog,0.52537261
ant,gazelle,0.305909076
ant,gecko,0.379171568
ant,gibbon,0.288146664
ant,giraffe,0.281317905
ant,goat,0.295448494
ant,goldfish,0.329404558
ant,goose,0.305508283
ant,gorilla,0.368565805
ant,grasshopper,0.541286282
ant,hamster,0.362449585
ant,hare,0.274441361
ant,hawk,0.192440623
ant,hedgehog,0.390822587
ant,horse,0.171399933
ant,hyena,0.314051991
ant,jaguar,0.262522303
ant,jellyfish,0.396375461
ant,kangaroo,0.292053318
ant,kiwi,0.223066447
