[run number],threshold,person1,[step],words-said
52,0.1,animals_google.csv,36,[mink gorilla lemur gecko gibbon flamingo bat owl elk moose lemming crocodile parakeet alligator hedgehog snake crab monkey bumblebee panther octopus shark oyster beetle wasp woodpecker caiman swallow lion dog sheep prawn squid crow whale duck squid]
65,0.2,animals_google.csv,31,[grasshopper robin toucan salamander rat walrus swallow spider toad gecko falcon centipede cat boa elephant flea monkey squirrel kangaroo owl beetle blackbird badger wasp baboon rhinoceros pelican butterfly rabbit snail giraffe salamander]
66,0.3,animals_google.csv,31,[emu goat dog shark racoon wolf weasel hawk chipmunk piranha beaver cat reindeer baboon jaguar chameleon rabbit mouse rat hedgehog parrot rhinoceros turtle moth crocodile frog squirrel snail ladybug platypus owl parrot]
55,0.1,animals_twitter.csv,18,[lobster squid fly hawk falcon horse caterpillar panther hamster gazelle prawn dingo scorpion mouse elk squirrel zebra rabbit lobster]
68,0.2,animals_twitter.csv,15,[otter buffalo goose chimpanzee hawk lizard wolf duck baboon goldfish squid bonobo pelican tapir alligator buffalo]
69,0.3,animals_twitter.csv,14,[eel otter oyster bumblebee caiman puma robin scallop cod hamster trout mink carp lobster hamster]
56,0.2,animals_twitter.csv,34,[turkey coyote stork duck antelope lemur goose crocodile cuttlefish okapi gibbon woodpecker dragonfly crow fox parrot mink moose squid bear centipede snake poodle prawn mouse rat dolphin chameleon dingo eagle chicken pony beaver wolf poodle]
57,0.3,animals_twitter.csv,32,[dolphin centipede spider cat penguin duck mole cockroach carp moth otter ladybug platypus weasel chipmunk flea wombat jellyfish baboon pigeon pelican swan tapir wolf crow squirrel mongoose tarantula crab peacock scorpion turtle scorpion]
58,0.1,animals_wikipedia.csv,40,[bat fox tortoise beetle duck weasel skunk platypus lemming parrot eel horse goose spider butterfly woodpecker racoon kiwi panther gorilla piranha moose hamster rabbit wombat toad salamander tapir chimpanzee pigeon bear shark swan blackbird octopus lobster mouse bison centipede koala piranha]
61,0.1,animals_gigaword.csv,15,[butterfly tarantula reindeer prawn sparrow flamingo wolf goose mink tiger parrot chimpanzee flea swan ostrich parrot]
62,0.2,animals_gigaword.csv,12,[chicken lizard scorpion elk leopard goat horse reindeer squid jellyfish octopus baboon octopus]
74,0.2,animals_gigaword.csv,21,[panda badger kangaroo mole antelope duck tortoise stork lobster tapir baboon hamster beetle cockroach dog horse chimpanzee lion coyote walrus beaver walrus]
75,0.3,animals_gigaword.csv,24,[ostrich rooster raven grasshopper alligator leopard beaver chicken buffalo moose squirrel duck prawn turtle whale shrimp tarantula trout snake snail beetle coyote scorpion elephant beetle]
64,0.1,animals_google.csv,30,[prawn shrimp squirrel hawk octopus kangaroo lizard goat python pelican caterpillar dove gibbon bumblebee walrus racoon peacock zebra giraffe owl lobster ladybug hyena pig bonobo tapir turtle ostrich albatross poodle walrus]
78,0.3,animals_google.csv,27,[stingray bumblebee mongoose grasshopper owl chicken hawk pigeon falcon beaver coyote rat toucan woodpecker parrot ostrich koala horse rooster kangaroo sheep crocodile wombat hamster hedgehog whale baboon hedgehog]
67,0.1,animals_twitter.csv,33,[rat raven eagle gazelle walrus beaver swallow peacock jaguar tapir swan sparrow badger flamingo albatross leopard tiger chameleon kiwi squid fly coyote starfish prawn crab frog blackbird flea bat racoon tortoise caiman cow walrus]
80,0.2,animals_twitter.csv,25,[dingo spider mule beaver mole leopard ladybug crocodile termite squid elephant cat badger swan flea toad moose deer otter reindeer camel ostrich carp caterpillar fox beaver]
81,0.3,animals_twitter.csv,32,[badger crow wombat moth bison carp bonobo toad cat cow koala jellyfish monkey penguin chameleon antelope hyena walrus nightingale emu nymph chimpanzee skunk alligator ostrich frog flamingo lobster ladybug poodle baboon stork hyena]
70,0.1,animals_wikipedia.csv,3,[hare nymph dove hare]
83,0.2,animals_wikipedia.csv,26,[frog flea shrimp snake deer sheep okapi toad hedgehog walrus rhinoceros parrot poodle ostrich kangaroo starfish penguin turtle lobster peacock kiwi tiger baboon chimpanzee reindeer elk baboon]
84,0.3,animals_wikipedia.csv,10,[baboon weasel rabbit rooster platypus toucan chicken skunk bear dog rooster]
71,0.2,animals_wikipedia.csv,26,[centipede kangaroo weasel sheep elk baboon cuttlefish oyster okapi zebra rhinoceros rat mongoose bonobo donkey chicken lobster platypus coyote squirrel frog catfish mouse termite scallop snake catfish]
72,0.3,animals_wikipedia.csv,16,[parrot cuttlefish chimpanzee woodpecker elephant squirrel sparrow elk hawk antelope falcon dingo cat weasel racoon rattlesnake parrot]
73,0.1,animals_gigaword.csv,5,[fly chameleon cat tortoise reindeer chameleon]
77,0.2,animals_google.csv,34,[cockroach fox tarantula pig salamander elk raven beaver weasel otter piranha rattlesnake hyena dog hedgehog turkey whale wasp goose donkey cow grasshopper cuttlefish zebra kangaroo deer hare frog poodle rat lemur falcon shark hawk weasel]
