Animal1,Animal2,weights
ant,raven,0.239484825
ant,reindeer,0.162860133
ant,rhinoceros,0.170905723
ant,robin,0.132032717
ant,rooster,0.227653451
ant,salamander,0.200195372
ant,salmon,0.046725921
ant,scallop,0.1432238
ant,scorpion,0.323802126
ant,seal,0
ant,shark,0.234284246
ant,sheep,0.173900963
ant,shrimp,0.13439228
ant,skunk,0.164061614
ant,snail,0.197432812
ant,snake,0.342704093
ant,sparrow,0.321656068
ant,spider,0.368717059
ant,squid,0.194868423
ant,squirrel,0.368465724
ant,starfish,0.227925872
ant,stingray,0.214214079
ant,stork,0.211838732
ant,swallow,0.201846692
ant,swan,0.160445741
ant,tapir,0.217719447
ant,termite,0.475780812
ant,tarantula,0.317594858
ant,tiger,0.125012408
ant,toad,0.247628426
ant,tortoise,0.278294712
ant,toucan,0.219777219
ant,trout,0.136789005
ant,turkey,0.036322692
ant,turtle,0.197348052
ant,walrus,0.07300407
ant,wasp,0.344875718
ant,weasel,0.201040388
ant,whale,0.069723019
ant,wolf,0.205072568
ant,wombat,0.199530054
ant,woodpecker,0.337513049
ant,yak,0.00124493
ant,zebra,0.174639163
antelope,albatross,0.240917082
antelope,alligator,0.310425661
antelope,ant,0.154478279
antelope,antelope,1
antelope,baboon,0.241313951
antelope,badger,0.350706373
antelope,barracuda,0.138479658
antelope,bat,0.142902949
antelope,bear,0.263150285
antelope,beaver,0.350398872
antelope,bee,0.135875007
antelope,beetle,0.219259777
antelope,bison,0.50065893
antelope,blackbird,0.152762368
antelope,boa,0.255414728
antelope,bonobo,0.11910143
antelope,buffalo,0.312396267
antelope,bumblebee,0.115590762
antelope,butterfly,0.143754246
antelope,caiman,0.210928394
antelope,camel,0.229078091
antelope,canary,0.198296518
antelope,carp,0.203723079
antelope,cat,0.195247156
antelope,caterpillar,0.099757969
antelope,catfish,0.161765022
antelope,centipede,0.169933916
antelope,chameleon,0.167015941
antelope,chicken,0.157890844
antelope,chimpanzee,0.181467439
antelope,chipmunk,0.159787001
antelope,cockroach,0.107386075
antelope,cod,0.154285175
antelope,cow,0.21426935
antelope,coyote,0.378314339
antelope,crab,0.179440481
antelope,crocodile,0.252925129
antelope,crow,0.173202686
antelope,cuttlefish,0.139921746
antelope,deer,0.542414122
antelope,dingo,0.267982491
antelope,dog,0.149922966
antelope,dolphin,0.285274967
antelope,donkey,0.152296691
antelope,dove,0.261495112
antelope,dragonfly,0.17768559
antelope,duck,0.200084296
antelope,eagle,0.374646617
antelope,eel,0.170199454
antelope,elephant,0.395380041
antelope,elk,0.604938372
antelope,emu,0.138772627
antelope,falcon,0.211994381
antelope,finch,0.177262938
antelope,flamingo,0.150536135
antelope,flea,0.194736178
antelope,fly,0.101590874
antelope,fox,0.142030955
antelope,frog,0.270162143
antelope,gazelle,0.445032814
antelope,gecko,0.187108091
antelope,gibbon,0.07225628
antelope,giraffe,0.468371171
antelope,goat,0.380519958
antelope,goldfish,0.143293687
antelope,goose,0.289333798
antelope,gorilla,0.24090849
antelope,grasshopper,0.17252347
antelope,hamster,0.124248805
antelope,hare,0.226150741
antelope,hawk,0.206476412
antelope,hedgehog,0.213563409
antelope,horse,0.174170518
antelope,hyena,0.378113619
antelope,jaguar,0.205821622
antelope,jellyfish,0.117448042
antelope,kangaroo,0.313172826
antelope,kiwi,0.15792139
antelope,koala,0.18972627
antelope,ladybug,0.098643753
antelope,lemur,0.218833987
antelope,lemming,0.065426287
antelope,leopard,0.386124359
antelope,lion,0.285382084
antelope,lizard,0.269061728
antelope,lobster,0.113106606
antelope,mammoth,0.274028081
antelope,mink,0.255576587
antelope,mole,0.266974223
antelope,mongoose,0.34244568
antelope,monkey,0.283183734
antelope,moose,0.360929279
antelope,moth,0.209099769
antelope,mouse,0.115377149
antelope,mule,0.352366212
antelope,nightingale,0.169590605
antelope,nymph,0.126214126
antelope,octopus,0.127486928
antelope,okapi,0.181506707
antelope,ostrich,0.341290659
antelope,otter,0.315387388
antelope,owl,0.354892705
antelope,oyster,0.09714708
antelope,panda,0.284602363
antelope,panther,0.228938137
antelope,parakeet,0.287212396
antelope,parrot,0.191933674
antelope,peacock,0.198588682
antelope,pelican,0.233858618
antelope,penguin,0.131977209
antelope,pig,0.132549434
antelope,pigeon,0.217979298
antelope,piranha,0.102332481
antelope,platypus,0.158115253
antelope,pony,0.157990698
antelope,poodle,0.089654371
antelope,prawn,0.120187799
antelope,puma,0.207619355
antelope,python,0.113167532
antelope,rabbit,0.26593695
antelope,racoon,0.048117649
antelope,rat,0.181084535
antelope,rattlesnake,0.292277738
antelope,raven,0.200030002
antelope,reindeer,0.350631982
antelope,rhinoceros,0.470033293
antelope,robin,0.009751766
antelope,rooster,0.190932622
antelope,salamander,0.256101717
antelope,salmon,0.211620451
antelope,scallop,0.075443156
antelope,scorpion,0.190696964
antelope,seal,0.149484099
antelope,shark,0.224184397
antelope,sheep,0.426436175
antelope,shrimp,0.132439242
antelope,skunk,0.260218695
antelope,snail,0.199400886
antelope,snake,0.264438206
antelope,sparrow,0.222695519
antelope,spider,0.075644233
antelope,squid,0.18861145
antelope,squirrel,0.406100531
antelope,starfish,0.036612326
antelope,stingray,0.17056422
antelope,stork,0.161907493
antelope,swallow,0.177159493
antelope,swan,0.107857028
antelope,tapir,0.24593003
antelope,termite,0.169610107
antelope,tarantula,0.234785523
antelope,tiger,0.237142128
antelope,toad,0.297494685
antelope,tortoise,0.311481003
antelope,toucan,0.105834946
antelope,trout,0.32248336
antelope,turkey,0.031381498
antelope,turtle,0.288219443
antelope,walrus,0.263864016
antelope,wasp,0.083635397
antelope,weasel,0.191118308
antelope,whale,0.243320018
antelope,wolf,0.256723376
antelope,wombat,0.131428503
antelope,woodpecker,0.22511188
antelope,yak,0.350689701
antelope,zebra,0.404115036
baboon,albatross,0.177426399
baboon,alligator,0.109551809
baboon,ant,0.195856452
baboon,antelope,0.241313951
baboon,baboon,1
baboon,badger,0.046882958
baboon,barracuda,0.083622524
baboon,bat,0.104065398
baboon,bear,0.05498341
baboon,beaver,0
baboon,bee,0.107929346
baboon,beetle,0.096649805
baboon,bison,0.076898215
baboon,blackbird,0.045745523
baboon,boa,0.110695245
baboon,bonobo,0.243000816
baboon,buffalo,0
baboon,bumblebee,0.237183325
baboon,butterfly,0.105036315
baboon,caiman,0.238652735
baboon,camel,0.062355416
baboon,canary,0.127693257
baboon,carp,0
baboon,cat,0.159788318
baboon,caterpillar,0.076594527
baboon,catfish,0.003845896
baboon,centipede,0.240044568
baboon,chameleon,0.144463312
baboon,chicken,0.119593332
baboon,chimpanzee,0.37770509
baboon,chipmunk,0.118750112
baboon,cockroach,0.194137937
baboon,cod,0.049031965
baboon,cow,0.126641876
baboon,coyote,0.098970727
baboon,crab,0.16275283
baboon,crocodile,0.11828456
baboon,crow,0.0872511
baboon,cuttlefish,0.137466105
baboon,deer,0.065363239
baboon,dingo,0.293532364
baboon,dog,0.10397514
baboon,dolphin,0.165242381
baboon,donkey,0.15218828
baboon,dove,0.085551772
baboon,dragonfly,0.187142085
baboon,duck,0.050052824
baboon,eagle,0.005713718
baboon,eel,0.098700435
baboon,elephant,0.228545352
baboon,elk,0.076222348
baboon,emu,0.103910898
baboon,falcon,0.162145741
baboon,finch,0.124328571
baboon,flamingo,0.12293513
baboon,flea,0.090474002
baboon,fly,0.004963168
baboon,fox,0
baboon,frog,0.162569636
baboon,gazelle,0.189634665
baboon,gecko,0.178150178
baboon,gibbon,0.097044076
baboon,giraffe,0.24393594
baboon,goat,0.238664341
baboon,goldfish,0.091095049
baboon,goose,0.112134633
baboon,gorilla,0.28108346
baboon,grasshopper,0.156780897
baboon,hamster,0.288504658
baboon,hare,0.067645234
baboon,hawk,0.053118786
baboon,hedgehog,0.210352716
baboon,horse,0.048440662
baboon,hyena,0.374069935
baboon,jaguar,0.068334854
baboon,jellyfish,0.27356052
baboon,kangaroo,0.090189175
baboon,kiwi,0.041937942
baboon,koala,0.181422446
baboon,ladybug,0.189121105
baboon,lemur,0.23500433
baboon,lemming,0.077821632
baboon,leopard,0.223419551
baboon,lion,0.176335326
baboon,lizard,0.18999246
baboon,lobster,0.143611869
baboon,mammoth,0.153693675
baboon,mink,0.065829158
baboon,mole,0.105432839
baboon,mongoose,0.252201969
baboon,monkey,0.349576408
baboon,moose,0.039934921
baboon,moth,0.09838125
baboon,mouse,0.203374183
baboon,mule,0.209013244
baboon,nightingale,0.121027218
baboon,nymph,0.192784555
baboon,octopus,0.217761023
baboon,okapi,0.11816129
baboon,ostrich,0.164524828
baboon,otter,0.050963108
baboon,owl,0.195731311
baboon,oyster,0.111666634
baboon,panda,0.230295046
baboon,panther,0.087712631
baboon,parakeet,0.227087826
baboon,parrot,0.227361486
baboon,peacock,0.070373953
baboon,pelican,0.099538175
baboon,penguin,0.07690198
baboon,pig,0.296887558
baboon,pigeon,0.145527667
baboon,piranha,0.101785553
baboon,platypus,0.214638692
baboon,pony,0.097074662
baboon,poodle,0.154154087
baboon,prawn,0.047927323
baboon,puma,0
baboon,python,0.10427034
baboon,rabbit,0.158392565
baboon,racoon,0.114349651
baboon,rat,0.16626992
baboon,rattlesnake,0.138312209
baboon,raven,0.055693282
baboon,reindeer,0.220137978
baboon,rhinoceros,0.258180417
baboon,robin,0
baboon,rooster,0.171055749
baboon,salamander,0.091862571
baboon,salmon,0.087423527
baboon,scallop,0.160606041
baboon,scorpion,0.229162124
baboon,seal,0.010362054
baboon,shark,0.161473984
baboon,sheep,0.200078419
baboon,shrimp,0.081435531
baboon,skunk,0.187698842
baboon,snail,0.230046776
baboon,snake,0.158596796
baboon,sparrow,0.194329654
baboon,spider,0.234274489
baboon,squid,0.169989674
baboon,squirrel,0.256920687
baboon,starfish,0.198200913
baboon,stingray,0.179264099
baboon,stork,0.079606037
baboon,swallow,0.076540219
baboon,swan,0.014909079
baboon,tapir,0.11529554
baboon,termite,0.130542259
baboon,tarantula,0.317390344
baboon,tiger,0.007909921
baboon,toad,0.150016241
baboon,tortoise,0.325319257
baboon,toucan,0.107859213
baboon,trout,0.09479944
baboon,turkey,0
baboon,turtle,0.174153594
baboon,walrus,0.166973404
baboon,wasp,0.143387381
baboon,weasel,0.144009047
baboon,whale,0.18072251
baboon,wolf,0.127180398
baboon,wombat,0.159460186
baboon,woodpecker,0.189009312
baboon,yak,0.131856187
baboon,zebra,0.235830636
badger,albatross,0.17993531
badger,alligator,0.218048767
badger,ant,0.201507033
badger,antelope,0.350706373
badger,baboon,0.046882958
badger,badger,1
badger,barracuda,0.032467575
badger,bat,0.093949697
badger,bear,0.29360234
badger,beaver,0.459294274
badger,bee,0.214997389
badger,beetle,0.236979412
badger,bison,0.348139314
badger,blackbird,0.09397145
badger,boa,0.186190306
badger,bonobo,0.088980009
badger,buffalo,0.195339966
badger,bumblebee,0.046283168
badger,butterfly,0.096003592
badger,caiman,0.146887504
badger,camel,0.203263955
badger,canary,0.125492311
badger,carp,0.145818507
badger,cat,0.305968844
badger,caterpillar,0.027134167
badger,catfish,0.093455484
badger,centipede,0.17439577
badger,chameleon,0.095620165
badger,chicken,0.051583903
badger,chimpanzee,0.140872175
badger,chipmunk,0.139935203
badger,cockroach,0.245694167
badger,cod,0.044173035
badger,cow,0.135899696
badger,coyote,0.457121259
badger,crab,0.142645332
badger,crocodile,0.16636521
badger,crow,0.160800892
badger,cuttlefish,0.077646236
badger,deer,0.417004459
badger,dingo,0.242063876
badger,dog,0.272212031
badger,dolphin,0.198835663
badger,donkey,0.166650439
badger,dove,0.20529191
badger,dragonfly,0.149101733
badger,duck,0.235979775
badger,eagle,0.221543037
badger,eel,0.107584641
badger,elephant,0.214931986
badger,elk,0.390433728
badger,emu,0.098567401
badger,falcon,0.185868828
badger,finch,0.138872479
badger,flamingo,0.146415531
badger,flea,0.24148046
badger,fly,0
badger,fox,0.230675396
badger,frog,0.275195568
badger,gazelle,0.167625776
badger,gecko,0.184157679
badger,gibbon,0.196943178
badger,giraffe,0.248715808
badger,goat,0.361571862
badger,goldfish,0.203135805
badger,goose,0.28942448
badger,gorilla,0.159469665
badger,grasshopper,0.153011762
badger,hamster,0.246313035
badger,hare,0.370584678
badger,hawk,0.197498046
badger,hedgehog,0.331635229
badger,horse,0.14673687
badger,hyena,0.243305788
badger,jaguar,0.172748984
badger,jellyfish,0.110787681
badger,kangaroo,0.245825414
badger,kiwi,0.082214085
badger,koala,0.188776931
badger,ladybug,0.02522218
badger,lemur,0.149785503
badger,lemming,0.049570358
badger,leopard,0.263439935
badger,lion,0.205786347
badger,lizard,0.167580157
badger,lobster,0.102421586
badger,mammoth,0.160910655
badger,mink,0.34003911
badger,mole,0.292315466
badger,mongoose,0.345789195
badger,monkey,0.23643554
badger,moose,0.403590392
badger,moth,0.160252599
badger,mouse,0.202494948
badger,mule,0.29651741
badger,nightingale,0.231050534
badger,nymph,0.188642099
badger,octopus,0.11293285
badger,okapi,0.013502614
badger,ostrich,0.156295013
badger,otter,0.320587794
badger,owl,0.216594567
badger,oyster,0.152710983
badger,panda,0.053646398
badger,panther,0.238893426
badger,parakeet,0.187537838
badger,parrot,0.181694616
badger,peacock,0.118452358
badger,pelican,0.20811057
badger,penguin,0.12090487
badger,pig,0.182146004
badger,pigeon,0.287917985
badger,piranha,0.234921138
badger,platypus,0.137457022
badger,pony,0.238577579
badger,poodle,0.220874868
badger,prawn,0.01843021
badger,puma,0.083873584
badger,python,0.135478577
badger,rabbit,0.382923884
badger,racoon,0.158031206
badger,rat,0.282892023
badger,rattlesnake,0.250510293
badger,raven,0.261726023
badger,reindeer,0.24538956
badger,rhinoceros,0.211867514
badger,robin,0.035842642
badger,rooster,0.139018708
badger,salamander,0.173470462
badger,salmon,0.103499543
badger,scallop,0.026006048
badger,scorpion,0.149558067
badger,seal,0.080994065
badger,shark,0.135032917
badger,sheep,0.233255145
badger,shrimp,0
badger,skunk,0.331067458
badger,snail,0.065477413
badger,snake,0.217645408
badger,sparrow,0.22415385
badger,spider,0.133898866
badger,squid,0.099749455
badger,squirrel,0.381683111
badger,starfish,0.026759831
badger,stingray,0.076642742
badger,stork,0.123131489
badger,swallow,0.186727734
badger,swan,0.218361576
badger,tapir,0.216054344
badger,termite,0.194356115
badger,tarantula,0.242540378
badger,tiger,0.110891404
badger,toad,0.400292149
badger,tortoise,0.170739479
badger,toucan,0.199878938
badger,trout,0.234028827
badger,turkey,0
badger,turtle,0.197909278
badger,walrus,0.238033076
badger,wasp,0.138223587
badger,weasel,0.327902344
badger,whale,0.137765514
badger,wolf,0.315436454
badger,wombat,0.249672207
badger,woodpecker,0.168284516
badger,yak,0.264177958
badger,zebra,0.294684304
barracuda,albatross,0.120024441
barracuda,alligator,0.131917609
barracuda,ant,0.156624149
barracuda,antelope,0.138479658
barracuda,baboon,0.083622524
barracuda,badger,0.032467575
barracuda,barracuda,1
barracuda,bat,0.077041577
barracuda,bear,0
